Naziv korisnika;Konto;Klasa;Klasifikacija;Naziv;Iznos (KM)
Bosna i Hercegovina;-;Prihodi;Grupa;Poreski prihodi;646.110.682,02
Bosna i Hercegovina;712000;Prihodi;Podgrupa;Državni doprinosi;8.596.682,09
Bosna i Hercegovina;712100;Prihodi;Sintetički konto;Državni doprinosi;8.596.682,09
Bosna i Hercegovina;712100;Prihodi;Analitički konto;Državni doprinos za korištenje radio frekvencija;8.596.682,09
Bosna i Hercegovina;717000;Prihodi;Podgrupa;Prihodi iz indirektnih poreza;637.513.999,93
Bosna i Hercegovina;717100;Prihodi;Sintetički konto;Prihodi iz indirektnih poreza;637.513.999,93
Bosna i Hercegovina;717100;Prihodi;Analitički konto;Prihodi od indirektnih poreza za finansiranje Institucija BiH;637.513.999,93
Bosna i Hercegovina;-;Prihodi;Grupa;Neporeski prihodi;104.934.619,58
Bosna i Hercegovina;721000;Prihodi;Podgrupa;Prihodi od poduzetničkih aktivnosti i imovine i prihodi od pozitivnih kursnih lista;26.562.203,49
Bosna i Hercegovina;721100;Prihodi;Sintetički konto;Prihodi od nefinansijskih javnih preduzeća i finansijskih javnih institucija;20.301.746,30
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od dividendi i udjela u profitu CB BiH;19.986.112,90
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od iznajmljivanja ostale materijalne imovine;281.633,40
Bosna i Hercegovina;721100;Prihodi;Analitički konto;Prihodi od reklamiranja BiH na CNN-u;34.000,00
Bosna i Hercegovina;721200;Prihodi;Sintetički konto;Ostali prihodi od imovine;5.977.012,48
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate na budžetske depozite;5.864.321,86
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate po osnovu sukcesije;65.915,29
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Prihodi od kamate za depozite u banci;31.436,93
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Popust, rabat, ostali prihodi;15.090,70
Bosna i Hercegovina;721200;Prihodi;Analitički konto;Kamate po osnovu sukcesije;172,63
